window_id,window_start_s,window_end_s,label,anomaly_type,mean,standard_deviation,rms,minimum,maximum,peak_to_peak,median,kurtosis,dominant_frequency_hz,spectral_energy,source_file
16,16.0000576249995,16.998057359000086,0,normal,1.0442624186408809,0.004801184676450933,1.0442734557384863,1.0340885116855327,1.0566481249687616,0.022559613283228863,1.0431388258520529,-0.3275659163065181,17.0,0.01148102579905233,anomaly_20260725_185423.csv
17,17.000076829000136,17.99805418899996,0,normal,1.0444750663732552,0.004573740764867888,1.044485080496605,1.0338899264428492,1.05555357040749,0.021663643964640933,1.0444211650478938,-0.29701067620539945,15.0,0.010420145742121375,anomaly_20260725_185423.csv
18,18.000055993999922,18.99805425500017,0,normal,1.0441669282296078,0.005044403983144108,1.0441791129973823,1.030522881842029,1.0582303435452982,0.02770746170326932,1.0443993201836164,0.2637429998749825,23.0,0.012672471388092181,anomaly_20260725_185423.csv
19,19.000055282000176,19.99805372399988,0,normal,1.0439664270206774,0.004999251311979828,1.0439783969316607,1.027181819348454,1.0570798739925,0.029898054644045935,1.0443993201836164,0.24202956549789834,27.0,0.012458722726607726,anomaly_20260725_185423.csv
20,20.998055908999966,21.996109111999893,0,normal,1.05844135566671,0.004606106209858407,1.058451378004677,1.0481354301806611,1.0691265126260785,0.020991082445417364,1.0586542636762957,-0.42887323730366056,17.0,0.010566253840105903,normal_20260725_184948.csv
21,21.998119544000026,22.996107171999945,0,normal,1.0590773443452244,0.004327548343700894,1.0590861858130336,1.0471409217483576,1.0696527660881356,0.022511844339778042,1.0587117313036631,0.09567401299341682,11.0,0.00933089851735487,normal_20260725_184948.csv
22,22.998106603999993,23.99610675299983,0,normal,1.059497142594729,0.004859069211741663,1.0595082848755832,1.0476782187293958,1.0703564032601478,0.022678184530751988,1.059214440045074,-0.6194766817045911,29.0,0.011758855866210435,normal_20260725_184948.csv
23,23.99810646200013,24.99610679699982,0,normal,1.0592860164182567,0.005183626215391175,1.0592986994044693,1.0482442606568374,1.0707897272574107,0.022545466600573327,1.059214440045074,-0.6196285665527475,12.0,0.013384536010708494,normal_20260725_184948.csv
24,24.998106562999972,25.996107879999734,0,normal,1.0591123685789174,0.005286902983262514,1.0591255641424202,1.0452145521375025,1.0728190434551392,0.02760449131763676,1.0592359793738126,-0.11732583851224065,11.0,0.013920035739112989,normal_20260725_184948.csv
25,25.998107515999898,26.996107834999755,0,normal,1.0592804249815009,0.005484207418643618,1.0592946215666348,1.0466324139830565,1.0727552423549371,0.026122828371880624,1.0587620129188615,-0.4039228518358362,6.0,0.014978437355341804,normal_20260725_184948.csv
26,26.99810778499978,27.996115475999893,0,normal,1.059474383282243,0.005172470271581984,1.059487009490914,1.0447196657477067,1.0702071855486677,0.025487519800960978,1.0606350974769785,0.132462076658316,3.0,0.01332982610778527,normal_20260725_184948.csv
27,27.998108203999898,28.99610802500002,0,normal,1.059466003818534,0.005227115149526574,1.05947889831747,1.0471990211989315,1.075367983529359,0.02816896233042754,1.0592718772817489,-0.18927769557418683,7.0,0.013613244745172422,normal_20260725_184948.csv
28,28.99810788300011,29.996107816999945,0,normal,1.0593630144419626,0.0052168258968595714,1.0593758594757574,1.0457891995999955,1.0726488987548537,0.026859699154858196,1.0592359793738126,-0.21057879804127477,13.0,0.013556580810841476,normal_20260725_184948.csv
29,29.998107416000046,30.996113979999798,0,normal,1.0595927574055586,0.00496242417422838,1.0596043776806512,1.049571083824245,1.072705616653516,0.023134532829271137,1.0592072601714926,-0.362957371997068,11.0,0.012264535966932551,normal_20260725_184948.csv
30,31.99611455399964,32.99416799599977,0,normal,1.0605366045519735,0.005003149545099578,1.0605484058259669,1.0496290487596085,1.0722801592867417,0.0226511105271332,1.0611297281671077,-0.3936021947207138,7.0,0.012470859595981874,normal_20260725_185107.csv
31,32.9961748539995,33.99418196399984,0,normal,1.0598435454226924,0.004803505580052636,1.059854430778114,1.0468067873299256,1.0721312093209483,0.025324421991022694,1.059386742412798,-0.17870305938347242,3.0,0.011498234885428817,normal_20260725_185107.csv
32,33.996175617999604,34.994166969999704,0,normal,1.0595822352430766,0.004953265315456766,1.0595938127792177,1.0490130075456645,1.0716203665477808,0.0226073590021163,1.0592718772817489,-0.4954701429152526,10.0,0.012223941710398227,normal_20260725_185107.csv
33,34.99618330999966,35.99416884699986,0,normal,1.0611486641515324,0.005384017962270434,1.0611623226820672,1.0496870104940803,1.0742075497779746,0.024520539283894305,1.061674272081602,-0.5298481791666654,24.0,0.014446072483142813,normal_20260725_185107.csv
34,35.99618083499991,36.99416794799982,0,normal,1.060221103929611,0.005013505986504535,1.060232957637141,1.0501505892013772,1.0757780812044833,0.0256274920031061,1.0594657049664231,-0.2386610952294168,25.0,0.012524055638182265,normal_20260725_185107.csv
35,36.99618649099967,37.994167826999735,0,normal,1.0597823795856793,0.004609459807270926,1.05979240382256,1.0482660253962257,1.072705616653516,0.02443959125729034,1.0599106566121506,0.35866972607818237,13.0,0.01058336724231246,normal_20260725_185107.csv
36,37.9961762779999,38.994169059999884,0,normal,1.0601216559602302,0.0050520336636773735,1.060133693682075,1.0447196657477067,1.0728190434551392,0.028099377707432538,1.0611512286191822,0.35298723085178496,34.0,0.012711133044425083,normal_20260725_185107.csv
